=== ICICI PAGE STRUCTURE ===
Title: FD Interest Rates - Check Latest Fixed Deposit Rates | ICICI Bank

=== BUTTONS AND LINKS ===
Btn 184: tag=A, id=None, class=None, text=Government e-Marketplace (GEM) Account
Btn 185: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 186: tag=A, id=None, class=btn-link, text=Deposits
Btn 187: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 188: tag=BUTTON, id=None, class=close, text=Close
Btn 189: tag=A, id=None, class=None, text=Fixed Deposits
Btn 190: tag=A, id=None, class=None, text=Fixed Deposit backed Overdraft
Btn 191: tag=A, id=None, class=None, text=Fixed Deposit Interest Rates
Btn 192: tag=A, id=None, class=None, text=Fixed Deposit Calculator
Btn 193: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Open FD
Btn 194: tag=A, id=None, class=btn-link, text=Cash Management and Merchant Services
Btn 195: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 196: tag=BUTTON, id=None, class=close, text=Close
Btn 197: tag=A, id=None, class=None, text=Payment Solutions
Btn 198: tag=A, id=None, class=None, text=Collection Solutions
Btn 199: tag=A, id=None, class=None, text=Tax and other Statutory Solutions
Btn 200: tag=A, id=None, class=None, text=Corporate Application Programming Interface (API) Suite
Btn 201: tag=A, id=None, class=None, text=Merchant Services
Btn 202: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all
Btn 203: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Know more
Btn 204: tag=A, id=None, class=btn-link, text=Trade
Btn 205: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 206: tag=BUTTON, id=None, class=close, text=Close
Btn 207: tag=A, id=None, class=None, text=Import Solutions
Btn 208: tag=A, id=None, class=None, text=Digital Solutions
Btn 209: tag=A, id=None, class=None, text=Export Solutions
Btn 210: tag=A, id=None, class=None, text=Bank Guarantees
Btn 211: tag=A, id=None, class=None, text=Domestic or Inland Trade solutions
Btn 212: tag=A, id=None, class=None, text=Capital Account Service
Btn 213: tag=A, id=None, class=None, text=Exchange Earners’ Foreign Currency (EEFC) Account
Btn 214: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all
Btn 215: tag=A, id=None, class=btn-link, text=Cards
Btn 216: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 217: tag=BUTTON, id=None, class=close, text=Close
Btn 218: tag=A, id=None, class=None, text=Corporate Cards
Btn 219: tag=A, id=None, class=None, text=Business Debit Cards
Btn 220: tag=A, id=None, class=None, text=Business Credit Cards
Btn 221: tag=A, id=None, class=None, text=Corporate Sapphiro Forex Card
Btn 222: tag=A, id=None, class=None, text=Corporate Forex Card
Btn 223: tag=A, id=None, class=btn-link, text=Business Loans
Btn 224: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 225: tag=BUTTON, id=None, class=close, text=Close
Btn 226: tag=A, id=None, class=None, text=Working Capital Loans
Btn 227: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all
Btn 228: tag=A, id=None, class=btn-link, text=Global Market Services
Btn 229: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 230: tag=BUTTON, id=None, class=close, text=Close
Btn 231: tag=A, id=None, class=None, text=Forex
Btn 232: tag=A, id=None, class=None, text=Derivatives
Btn 233: tag=A, id=None, class=None, text=Bullion
Btn 234: tag=A, id=None, class=None, text=Bonds
Btn 235: tag=A, id=None, class=None, text=Economic Research
Btn 236: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all
Btn 237: tag=A, id=None, class=None, text=Forex Card Rate
Btn 238: tag=A, id=None, class=btn-link, text=Capital Market and Securities Market Services
Btn 239: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 240: tag=BUTTON, id=None, class=close, text=Close
Btn 241: tag=A, id=None, class=None, text=Capital Market Services
Btn 242: tag=A, id=None, class=None, text=Securities Market Services
Btn 243: tag=A, id=None, class=None, text=Custodial Services
Btn 244: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all
Btn 245: tag=BUTTON, id=None, class=close, text=Close
Btn 246: tag=BUTTON, id=None, class=btn-link, text=Resources
Btn 247: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 248: tag=BUTTON, id=None, class=close, text=Close
Btn 249: tag=A, id=None, class=None, text=Blogs (The Orange Hub)
Btn 250: tag=A, id=None, class=None, text=Videos (iPlay)
Btn 251: tag=A, id=None, class=None, text=Calculators
Btn 252: tag=A, id=None, class=None, text=Home buyers guide
Btn 253: tag=BUTTON, id=None, class=btn-link, text=About
Btn 254: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 255: tag=BUTTON, id=None, class=close, text=Close
Btn 256: tag=A, id=None, class=title-text down-arrow, text=About
Btn 257: tag=A, id=None, class=None, text=ICICI Group Companies
Btn 258: tag=A, id=None, class=None, text=Board of Directors
Btn 259: tag=A, id=None, class=None, text=Investor Relations
Btn 260: tag=A, id=None, class=None, text=News room
Btn 261: tag=A, id=None, class=None, text=Awards and Recognition
Btn 262: tag=A, id=None, class=None, text=Environmental, Social and Governance
Btn 263: tag=BUTTON, id=None, class=btn-link, text=Help
Btn 264: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 265: tag=BUTTON, id=None, class=close, text=Close
Btn 266: tag=A, id=None, class=title-text down-arrow, text=Help and Support
Btn 267: tag=A, id=None, class=None, text=Contact Us
Btn 268: tag=A, id=None, class=None, text=Customer Care
Btn 269: tag=A, id=None, class=None, text=Track Applications
Btn 270: tag=A, id=None, class=None, text=Form Center
Btn 271: tag=A, id=None, class=None, text=Online Assist
Btn 272: tag=A, id=None, class=title-text , text=Information Center
Btn 273: tag=A, id=None, class=None, text=FAQs
Btn 274: tag=A, id=None, class=None, text=Feedback
Btn 275: tag=A, id=None, class=None, text=Service Requests
Btn 276: tag=A, id=None, class=None, text=Queries
Btn 277: tag=A, id=None, class=None, text=Complaints
Btn 278: tag=A, id=None, class=None, text=Report Suspicious Behaviour
Btn 279: tag=A, id=None, class=None, text=Report unauthorized transaction
Btn 280: tag=A, id=None, class=toll-free-no hide-desk-tab, text=Toll Free No
Btn 281: tag=A, id=None, class=ipal-icon, text=Ask iPal
Btn 282: tag=A, id=None, class=None, text=Save Items
Btn 283: tag=BUTTON, id=nav-accessibility-dropdown, class=btn-link iconmenu-icon, text=Open Accessibility Menu
Btn 284: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 285: tag=BUTTON, id=None, class=close icon-close, text=Close
Btn 286: tag=BUTTON, id=None, class=None, text=A-
Btn 287: tag=BUTTON, id=None, class=active, text=A
Btn 288: tag=BUTTON, id=None, class=None, text=A+
Btn 289: tag=BUTTON, id=None, class=btn-link manage_cookies, text=Manage Cookies
Btn 290: tag=BUTTON, id=nav-icon-dropdown, class=btn-link lang chvron-down, text=Country Dropdown
Btn 291: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 292: tag=BUTTON, id=None, class=close icon-close, text=Close
Btn 293: tag=A, id=None, class=None, text=India
Btn 294: tag=A, id=None, class=None, text=Gift City India
Btn 295: tag=A, id=None, class=None, text=Bahrain
Btn 296: tag=A, id=None, class=None, text=Canada
Btn 297: tag=A, id=None, class=None, text=China
Btn 298: tag=A, id=None, class=None, text=Germany
Btn 299: tag=A, id=None, class=None, text=Hong Kong
Btn 300: tag=A, id=None, class=None, text=Singapore
Btn 301: tag=A, id=None, class=None, text=UK
Btn 302: tag=A, id=None, class=None, text=USA
Btn 303: tag=A, id=None, class=None, text=DIFC-UAE
Btn 304: tag=A, id=None, class=None, text=Europe
Btn 305: tag=BUTTON, id=login, class=login chvron-down, text=Login
Btn 306: tag=BUTTON, id=None, class=modal-close, text=Close Login panel
Btn 307: tag=A, id=None, class=None, text=Login to Net Banking
Btn 308: tag=A, id=None, class=chvron-right-arrow, text=Personal and NRI
Btn 309: tag=A, id=None, class=chvron-right-arrow, text=Corporate
Btn 310: tag=A, id=None, class=chvron-right-arrow, text=Commercial Card
Btn 311: tag=A, id=None, class=chvron-right-arrow, text=Money2World
Btn 312: tag=A, id=None, class=chvron-right-arrow, text=Money2India
Btn 313: tag=BUTTON, id=None, class=ham-icon desktop-hide, text=open hamburger menu
Btn 314: tag=A, id=None, class=None, text=Fixed Deposit
Btn 315: tag=A, id=None, class=active, text=FD Interest Rate
Btn 317: tag=A, id=None, class=button-btn button-btn-primary button-btn-medium, text=Open FD
Btn 318: tag=A, id=None, class=breadcrumb__anchor, text=Deposits
Btn 319: tag=A, id=None, class=breadcrumb__anchor, text=Fixed Deposit (FD)
Btn 320: tag=A, id=None, class=breadcrumb__anchor, text=FD Interest Rates
